queries_sent,budget_frac,cum_errors_covered,frac_errors_covered
455,0.9136546184738956,252,0.9473684210526315
456,0.9156626506024096,252,0.9473684210526315
457,0.9176706827309237,253,0.9511278195488722
458,0.9196787148594378,253,0.9511278195488722
459,0.9216867469879518,254,0.9548872180451128
460,0.9236947791164659,255,0.9586466165413534
461,0.9257028112449799,256,0.9624060150375939
462,0.927710843373494,257,0.9661654135338346
463,0.929718875502008,257,0.9661654135338346
464,0.9317269076305221,257,0.9661654135338346
465,0.9337349397590361,257,0.9661654135338346
466,0.9357429718875502,257,0.9661654135338346
467,0.9377510040160643,257,0.9661654135338346
468,0.9397590361445783,257,0.9661654135338346
469,0.9417670682730924,257,0.9661654135338346
470,0.9437751004016064,257,0.9661654135338346
471,0.9457831325301205,257,0.9661654135338346
472,0.9477911646586346,257,0.9661654135338346
473,0.9497991967871486,257,0.9661654135338346
474,0.9518072289156626,257,0.9661654135338346
475,0.9538152610441767,257,0.9661654135338346
476,0.9558232931726908,257,0.9661654135338346
477,0.9578313253012049,257,0.9661654135338346
478,0.9598393574297188,257,0.9661654135338346
479,0.9618473895582329,257,0.9661654135338346
480,0.963855421686747,257,0.9661654135338346
481,0.9658634538152611,257,0.9661654135338346
482,0.9678714859437751,258,0.9699248120300752
483,0.9698795180722891,258,0.9699248120300752
484,0.9718875502008032,259,0.9736842105263158
485,0.9738955823293173,260,0.9774436090225563
486,0.9759036144578314,261,0.981203007518797
487,0.9779116465863453,261,0.981203007518797
488,0.9799196787148594,262,0.9849624060150376
489,0.9819277108433735,262,0.9849624060150376
490,0.9839357429718876,262,0.9849624060150376
491,0.9859437751004017,263,0.9887218045112782
492,0.9879518072289156,263,0.9887218045112782
493,0.9899598393574297,263,0.9887218045112782
494,0.9919678714859438,264,0.9924812030075187
495,0.9939759036144579,264,0.9924812030075187
496,0.9959839357429718,264,0.9924812030075187
497,0.9979919678714859,265,0.9962406015037594
498,1.0,266,1.0
